#MOVEMENT,DIRECTION,FLOAT
TAKEOFF,TRUE,1
SLEEP,TRUE,6000
PITCH,TRUE,0.2
SLEEP,TRUE,500
ROLL,TRUE,0.2
SLEEP,TRUE,500
PITCH,TRUE,0.2
SLEEP,TRUE,500
ROLL,TRUE,0.2
SLEEP,TRUE,500
PITCH,TRUE,0.2
SLEEP,TRUE,500
ROLL,TRUE,0.2
SLEEP,TRUE,500
PITCH,TRUE,0.2
SLEEP,TRUE,500
ROLL,TRUE,0.2
SLEEP,TRUE,500
PITCH,TRUE,0.2
SLEEP,TRUE,500
ROLL,TRUE,0.2
SLEEP,TRUE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
PITCH,FALSE,0.2
SLEEP,FALSE,500
LAND,TRUE,1
